name,fips,state
Autauga,01001,AL
Baldwin,01003,AL
Barbour,01005,AL
Bibb,01007,AL
Blount,01009,AL
Bullock,01011,AL
Butler,01013,AL
Calhoun,01015,AL
Chambers,01017,AL
Cherokee,01019,AL
Chilton,01021,AL
Choctaw,01023,AL
Clarke,01025,AL
Clay,01027,AL
Cleburne,01029,AL
Coffee,01031,AL
Colbert,01033,AL
Conecuh,01035,AL
Coosa,01037,AL
Covington,01039,AL
Crenshaw,01041,AL
Cullman,01043,AL
Dale,01045,AL
Dallas,01047,AL
DeKalb,01049,AL
Elmore,01051,AL
Escambia,01053,AL
Etowah,01055,AL
Fayette,01057,AL
Franklin,01059,AL
Geneva,01061,AL
Greene,01063,AL
Hale,01065,AL
Henry,01067,AL
Houston,01069,AL
Jackson,01071,AL
Jefferson,01073,AL
Lamar,01075,AL
Lauderdale,01077,AL
Lawrence,01079,AL
Lee,01081,AL
Limestone,01083,AL
Lowndes,01085,AL
Macon,01087,AL
Madison,01089,AL
Marengo,01091,AL
Marion,01093,AL
Marshall,01095,AL
Mobile,01097,AL
Monroe,01099,AL
Montgomery,01101,AL
Morgan,01103,AL
Perry,01105,AL
Pickens,01107,AL
Pike,01109,AL
Randolph,01111,AL
Russell,01113,AL
St. Clair,01115,AL
Shelby,01117,AL
Sumter,01119,AL
Talladega,01121,AL
Tallapoosa,01123,AL
Tuscaloosa,01125,AL
Walker,01127,AL
Washington,01129,AL
Wilcox,01131,AL
Winston,01133,AL
Aleutians East Borough,02013,AK
Aleutians West Census Area,02016,AK
Anchorage Municipality,02020,AK
Bethel Census Area,02050,AK
Bristol Bay Borough,02060,AK
Denali Borough,02068,AK
Dillingham Census Area,02070,AK
Fairbanks North Star Borough,02090,AK
Haines Borough,02100,AK
Hoonah-Angoon Census Area,02105,AK
Juneau City and Borough,02110,AK
Kenai Peninsula Borough,02122,AK
Ketchikan Gateway Borough,02130,AK
Kodiak Island Borough,02150,AK
Lake and Peninsula Borough,02164,AK
Matanuska-Susitna Borough,02170,AK
Nome Census Area,02180,AK
North Slope Borough,02185,AK
Northwest Arctic Borough,02188,AK
Petersburg Borough,02195,AK
Prince of Wales-Hyder Census Area,02198,AK
Sitka City and Borough,02220,AK
Skagway Municipality,02230,AK
Southeast Fairbanks Census Area,02240,AK
Valdez-Cordova Census Area,02261,AK
Wade Hampton Census Area,02270,AK
Wrangell City and Borough,02275,AK
Yakutat City and Borough,02282,AK
Yukon-Koyukuk Census Area,02290,AK
Apache,04001,AZ
Cochise,04003,AZ
Coconino,04005,AZ
Gila,04007,AZ
Graham,04009,AZ
Greenlee,04011,AZ
La Paz,04012,AZ
Maricopa,04013,AZ
Mohave,04015,AZ
Navajo,04017,AZ
Pima,04019,AZ
Pinal,04021,AZ
Santa Cruz,04023,AZ
Yavapai,04025,AZ
Yuma,04027,AZ
Arkansas,05001,AR
Ashley,05003,AR
Baxter,05005,AR
Benton,05007,AR
Boone,05009,AR
Bradley,05011,AR
Calhoun,05013,AR
Carroll,05015,AR
Chicot,05017,AR
Clark,05019,AR
Clay,05021,AR
Cleburne,05023,AR
Cleveland,05025,AR
Columbia,05027,AR
Conway,05029,AR
Craighead,05031,AR
Crawford,05033,AR
Crittenden,05035,AR
Cross,05037,AR
Dallas,05039,AR
Desha,05041,AR
Drew,05043,AR
Faulkner,05045,AR
Franklin,05047,AR
Fulton,05049,AR
Garland,05051,AR
Grant,05053,AR
Greene,05055,AR
Hempstead,05057,AR
Hot Spring,05059,AR
Howard,05061,AR
Independence,05063,AR
Izard,05065,AR
Jackson,05067,AR
Jefferson,05069,AR
Johnson,05071,AR
Lafayette,05073,AR
Lawrence,05075,AR
Lee,05077,AR
Lincoln,05079,AR
Little River,05081,AR
Logan,05083,AR
Lonoke,05085,AR
Madison,05087,AR
Marion,05089,AR
Miller,05091,AR
Mississippi,05093,AR
Monroe,05095,AR
Montgomery,05097,AR
Nevada,05099,AR
Newton,05101,AR
Ouachita,05103,AR
Perry,05105,AR
Phillips,05107,AR
Pike,05109,AR
Poinsett,05111,AR
Polk,05113,AR
Pope,05115,AR
Prairie,05117,AR
Pulaski,05119,AR
Randolph,05121,AR
St. Francis,05123,AR
Saline,05125,AR
Scott,05127,AR
Searcy,05129,AR
Sebastian,05131,AR
Sevier,05133,AR
Sharp,05135,AR
Stone,05137,AR
Union,05139,AR
Van Buren,05141,AR
Washington,05143,AR
White,05145,AR
Woodruff,05147,AR
Yell,05149,AR
Alameda,06001,CA
Alpine,06003,CA
Amador,06005,CA
Butte,06007,CA
Calaveras,06009,CA
Colusa,06011,CA
Contra Costa,06013,CA
Del Norte,06015,CA
El Dorado,06017,CA
Fresno,06019,CA
Glenn,06021,CA
Humboldt,06023,CA
Imperial,06025,CA
Inyo,06027,CA
Kern,06029,CA
Kings,06031,CA
Lake,06033,CA
Lassen,06035,CA
Los Angeles,06037,CA
Madera,06039,CA
Marin,06041,CA
Mariposa,06043,CA
Mendocino,06045,CA
Merced,06047,CA
Modoc,06049,CA
Mono,06051,CA
Monterey,06053,CA
Napa,06055,CA
Nevada,06057,CA
Orange,06059,CA
Placer,06061,CA
Plumas,06063,CA
Riverside,06065,CA
Sacramento,06067,CA
San Benito,06069,CA
San Bernardino,06071,CA
San Diego,06073,CA
San Francisco,06075,CA
San Joaquin,06077,CA
San Luis Obispo,06079,CA
San Mateo,06081,CA
Santa Barbara,06083,CA
Santa Clara,06085,CA
Santa Cruz,06087,CA
Shasta,06089,CA
Sierra,06091,CA
Siskiyou,06093,CA
Solano,06095,CA
Sonoma,06097,CA
Stanislaus,06099,CA
Sutter,06101,CA
Tehama,06103,CA
Trinity,06105,CA
Tulare,06107,CA
Tuolumne,06109,CA
Ventura,06111,CA
Yolo,06113,CA
Yuba,06115,CA
Adams,08001,CO
Alamosa,08003,CO
Arapahoe,08005,CO
Archuleta,08007,CO
Baca,08009,CO
Bent,08011,CO
Boulder,08013,CO
Broomfield,08014,CO
Chaffee,08015,CO
